run,random_search,flash_v4,flash_v5
1,0.000993048659384,0.0,0.0
2,0.000993048659384,0.0,0.0
3,0.000993048659384,0.0,0.0
4,0.000993048659384,0.0,0.0
5,0.000993048659384,0.0,0.0
6,0.000993048659384,0.0,0.0
7,0.000993048659384,0.0,0.0
8,0.00297914597815,0.0,0.0
9,0.00198609731877,0.0,0.0
10,0.000993048659384,0.000993048659384,0.000993048659384
11,0.000993048659384,0.0,0.0
12,0.000993048659384,0.0,0.0
13,0.000993048659384,0.0,0.0
14,0.00198609731877,0.0,0.0
15,0.00198609731877,0.0,0.0
16,0.00198609731877,0.0,0.000993048659384
17,0.000993048659384,0.0,0.0
18,0.000993048659384,0.0,0.0
19,0.000993048659384,0.0,0.0
20,0.000993048659384,0.0,0.0
21,0.000993048659384,0.0,0.0
22,0.000993048659384,0.0,0.0
23,0.000993048659384,0.00198609731877,0.00198609731877
24,0.00198609731877,0.000993048659384,0.0
25,0.000993048659384,0.000993048659384,0.0
26,0.000993048659384,0.0,0.0
27,0.000993048659384,0.0,0.0
28,0.000993048659384,0.0,0.0
29,0.00198609731877,0.00198609731877,0.00198609731877
30,0.000993048659384,0.0,0.0
