run,random_search,flash_v2,flash_v4
1,22.982,22.29,21.586
2,22.934,21.556,21.586
3,22.664,23.114,21.65
4,23.178,21.556,21.556
5,22.554,21.65,21.556
6,23.586,21.556,21.556
7,22.92,21.556,22.78
8,22.874,21.556,21.556
9,22.138,21.556,21.65
10,23.162,23.416,22.29
11,23.048,21.556,21.556
12,23.2,21.556,21.556
13,22.486,21.556,21.586
14,23.062,21.556,21.586
15,22.34,21.556,21.556
16,21.636,21.556,21.586
17,22.142,21.556,21.556
18,23.056,21.556,21.556
19,22.018,21.556,21.556
20,22.904,21.556,21.556
21,22.486,21.556,21.556
22,22.622,21.556,21.556
23,22.854,22.138,21.556
24,21.678,21.556,21.556
25,23.186,21.556,21.556
26,22.018,21.556,21.556
27,22.664,22.29,21.556
28,22.168,25.258,21.586
29,21.906,21.556,21.556
30,23.034,22.878,21.556
