run,random_search,flash_v2,flash_v4
1,4795.2,4277.2,4410.4
2,4402.6,8944.2,9078.0
3,4667.6,4275.6,4525.6
4,4582.0,8958.0,9092.4
5,4417.4,5264.4,5264.4
6,4570.6,5719.2,9078.0
7,4593.8,4298.0,4271.2
8,4315.8,9077.0,9067.2
9,4507.4,4567.6,4645.6
10,4976.8,4315.4,4318.2
11,4857.8,4291.0,4648.2
12,4800.8,4275.6,4224.2
13,4370.6,4340.2,4409.2
14,4541.0,4857.8,8930.2
15,4697.6,8934.4,4713.0
16,4871.2,4277.2,4276.6
17,5239.4,9093.0,9077.0
18,8916.8,4297.8,4301.2
19,4415.0,4681.2,4196.4
20,4852.6,4686.8,4402.0
21,4396.2,4685.6,4830.6
22,4419.8,4376.4,4196.4
23,4343.8,9094.0,9067.0
24,4306.2,4645.6,4292.8
25,4275.6,4277.2,4372.0
26,4299.2,4335.8,9071.4
27,4720.2,4430.8,4546.4
28,4918.0,9093.0,9067.0
29,4385.2,4271.2,4222.6
30,4726.2,4282.4,4440.4
